"LRIMOShipNo","ShipName","ShipStatus","ShipStatusEffectiveDate","YearOfBuild","Deadweight","GrossTonnage","ClassificationSociety","FlagName","ShiptypeLevel5","Powerkwmax","Powerkwservice","Powerbhpihpshpmax","Powerbhpihpshpservice","FuelConsumptionMainEnginesonly","FuelConsumptionTotal","FuelType1Capacity","FuelType1Code","FuelType1First","FuelType2Capacity","FuelType2Code","FuelType2Second","NumberOfAllEngines","NumberOfAuxiliaryEngines","NumberofMainEngines","MainEngineDesigner","MainEngineModel","MainEngineStrokeType","MainEngineType","TEU","GroupBeneficialOwner","GroupBeneficialOwnerCountryOfControl","GroupBeneficialOwnerCountryofDomicile","Operator","OperatorCountryOfControl","OperatorCountryofDomicileName","RegisteredOwner","RegisteredOwnerCountryOfControl","RegisteredOwnerCountryofDomicile","ShipManager","ShipManagerCompanyCode","ShipManagerCountryOfControl","ShipManagerCountryofDomicileName","ShipManagerCountryOfRegistration","ShipManagerCoutryofDomicileCode","TechnicalManager","TechnicalManagerCode","TechnicalManagerCountryOfControl","TechnicalManagerCountryOfDomicile","TechnicalManagerCountryOfDomicileCode","TechnicalManagerCountryOfRegistration","DOCCompany","DOCCompanyCountryofDomicile","DOCCompanyCountryofDomicilecode","DOCCountryOfControl","DOCCountryOfRegistration","DocumentofComplianceDOCCompanyCode"
"8649876","HOANG PHUONG 15-BIDV","In Service/Commission","20090820","2009",1920,999,"Vietnam Register 2009-08","Vietnam","General Cargo Ship",528,0,718,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","Z8170ZL","4","Oil",0,"BIDV Bank for Investment","Vietnam","Vietnam","Truong Minh Transport JSC","","Vietnam","BIDV Leasing Co","Vietnam","Vietnam","Truong Minh Transport JSC","4183063","","Vietnam","Vietnam","VNM","Truong Minh Transport JSC","4183063","","Vietnam","VNM","Vietnam","  Unknown","","","","","9991001"
"8649888","SHINEY V. MORAN","In Service/Commission","20090603","2009",170,281,"American Bureau of Shipping 2009-11","United States Of America","Tug",4000,3400,5438,4622,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"M.T.U.","16V4000M61","4","Oil",0,"US Bancorp","United States Of America","United States Of America","Moran Towing Corp","United States Of America","United States Of America","US Bank Equipment Finance","United States Of America","United States Of America","Moran Towing Corp","0377173","United States Of America","United States Of America","United States Of America","USA","Moran Towing Corp","0377173","United States Of America","United States Of America","USA","United States Of America","Moran Towing Corp","United States Of America","USA","United States Of America","United States Of America","0377173"
"8650423","RENUMA PREM","In Service/Commission","20041222","2004",3442,2374,"Indian Register of Shipping 2012-01, Zianlian Chuen 2004-12","India","Trailing Suction Hopper Dredger",1324,0,1800,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Chinese Std. Type","G6300ZC","4","Oil",0,"Mercator Ltd","India","India","Mercator Ltd","India","India","Mercator Ltd","India","India","Mercator Ltd","1130611","India","India","India","IND","Mercator Ltd","1130611","India","India","IND","India","  Unknown","","","","","9991001"
"8652146","ILHAM ALLAHVERDIYEV","In Service/Commission","20100730","2010",33,166,"Russian Maritime Register 2012-07","Azerbaijan","Passenger Ship",500,0,680,0,.00,.00,17.00,"DF","Distillate Fuel",.00,"NN","Not Applicable",2,,2,"MAN","D2866LXE","4","Oil",0,"Azerbaijan Caspian Shipping","Azerbaijan","Azerbaijan","Azerbaijan Caspian Shipping","Azerbaijan","Azerbaijan","Azerbaijan Caspian Shipping","Azerbaijan","Azerbaijan","Azerbaijan Caspian Shipping","0555540","Azerbaijan","Azerbaijan","Azerbaijan","AZE","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8652859","FILOMENA PRIMA","In Service/Commission","20090610","2009",305,384,"Registro Italiano Navale 2009-06","Italy","Fishing Vessel",1600,0,2176,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","QSK38-M","4","Oil",0,"Geoships Srl","Italy","Italy","Geoships Srl","Italy","Italy","Geoships Srl","Italy","Italy","Geoships Srl","5042791","Italy","Italy","Italy","ITL","Geoships Srl","5042791","Italy","Italy","ITL","Italy","  Unknown","","","","","9991001"
"8653073","RICH LAND 56","In Service/Commission","20060428","2006",16552,9785,"Isthmus Bureau of Shipping 2012-00","Panama","Bulk Carrier",3850,3272,5234,4449,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Pielstick","6PC2-6","4","Oil",0,"Chenzhou Ship Industry Group","China, People's Republic Of","China, People's Republic Of","Hong Kong Chenglu Intl Ship","China, People's Republic Of","Hong Kong, China","Chenzhou Ship Industry Group","China, People's Republic Of","China, People's Republic Of","Hong Kong Chenglu Intl Ship","4100686","China, People's Republic Of","Hong Kong, China","Hong Kong, China","HKG","Hong Kong Chenglu Intl Ship","4100686","China, People's Republic Of","Hong Kong, China","HKG","Hong Kong, China","Hong Kong Chenglu Intl Ship","Hong Kong, China","HKG","China, People's Republic Of","Hong Kong, China","4100686"
"8653085","RICH LAND 58","In Service/Commission","20060515","2006",16552,9785,"Isthmus Bureau of Shipping 2012-06","Panama","Bulk Carrier",3850,3272,5234,4449,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Pielstick","6PC2-6","4","Oil",0,"Chenzhou Ship Industry Group","China, People's Republic Of","China, People's Republic Of","Chenzhou Ship Industry Group","China, People's Republic Of","China, People's Republic Of","Chenzhou Ship Industry Group","China, People's Republic Of","China, People's Republic Of","Chenzhou Ship Industry Group","4143598","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","Hong Kong Chenglu Intl Ship","4100686","China, People's Republic Of","Hong Kong, China","HKG","Hong Kong, China","Hong Kong Chenglu Intl Ship","Hong Kong, China","HKG","China, People's Republic Of","Hong Kong, China","4100686"
"8655813","MARIA LAURA","In Service/Commission","20110420","2011",1255,2148,"Bureau Veritas 2013-04","Indonesia","Trans Shipment Vessel",3282,2788,4462,3790,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Caterpillar","3516B","4","Oil",0,"Indonesian Fortune Lloyd","Indonesia","Indonesia","Indonesian Fortune Lloyd","Indonesia","Indonesia","Indonesian Fortune Lloyd","Indonesia","Indonesia","Indonesian Fortune Lloyd","5183066","Indonesia","Indonesia","Indonesia","IDA","Indonesian Fortune Lloyd","5183066","Indonesia","Indonesia","IDA","Indonesia","  Unknown","","","","","9991001"
"8655825","MIRAMAR","In Service/Commission","20110919","2011",1504,2148,"Bureau Veritas 2011-09","Singapore","Trans Shipment Vessel",2118,0,2880,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Caterpillar","3516B","4","Oil",0,"LD Ports & Logistics Pte Ltd","Singapore","Singapore","LD Ports & Logistics Pte Ltd","Singapore","Singapore","LD Ports & Logistics Pte Ltd","Singapore","Singapore","LD Ports & Logistics Pte Ltd","5722892","Singapore","Singapore","Singapore","SNG","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8655992","GAO XIN 16","In Service/Commission","20060115","2006",15188,8963,"Zianlian Chuen (Contemplated) 2012-07","Sierra Leone","General Cargo Ship",3825,0,5200,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","","","Oil",0,"Zhejiang Gaoxin Shipping Co","China, People's Republic Of","China, People's Republic Of","Gold Glory Intl Ship Mgmt Ltd","","Hong Kong, China","Zhejiang Gaoxin Shipping Co","China, People's Republic Of","China, People's Republic Of","Gold Glory Intl Ship Mgmt Ltd","4138796","","Hong Kong, China","Hong Kong, China","HKG","Gold Glory Intl Ship Mgmt Ltd","4138796","","Hong Kong, China","HKG","Hong Kong, China","Gold Glory Intl Ship Mgmt Ltd","Hong Kong, China","HKG","","Hong Kong, China","4138796"
"8656154","PHU DAT 28-ALCI","In Service/Commission","20090323","2009",3083,1598,"Vietnam Register 2009-03","Vietnam","General Cargo Ship",1200,0,1632,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","CW12V200ZC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Phu Dat River Sea Transport Co","Vietnam","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Phu Dat River Sea Transport Co","5227374","Vietnam","Vietnam","Vietnam","VNM","Phu Dat River Sea Transport Co","5227374","Vietnam","Vietnam","VNM","Vietnam","  Unknown","","","","","9991001"
"8657744","BHAGIRATHI","In Service/Commission","20110513","2011",1771,1055,"Indian Register of Shipping 2011-05","India","General Cargo Ship",596,506,810,688,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","NTA-855-M","4","Oil",0,"United Shippers Ltd","India","India","United Shippers Ltd","India","India","United Shippers Ltd","India","India","United Shippers Ltd","5099005","India","India","India","IND","United Shippers Ltd","5099005","India","India","IND","India","United Shippers Ltd","India","IND","India","India","5099005"
"8657756","BHALCHANDRA","In Service/Commission","20110915","2011",1746,1057,"Indian Register of Shipping 2011-09","India","General Cargo Ship",1268,1076,1724,1462,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","K38-M","4","Oil",0,"United Shippers Ltd","India","India","United Shippers Ltd","India","India","United Shippers Ltd","India","India","United Shippers Ltd","5099005","India","India","India","IND","United Shippers Ltd","5099005","India","India","IND","India","United Shippers Ltd","India","IND","India","India","5099005"
"8657768","BRAMHANATH","In Service/Commission","20111216","2011",1690,1057,"Indian Register of Shipping 2012-00","India","General Cargo Ship",402,0,546,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","NT-855-M","4","Oil",0,"United Shippers Ltd","India","India","United Shippers Ltd","India","India","United Shippers Ltd","India","India","United Shippers Ltd","5099005","India","India","India","IND","United Shippers Ltd","5099005","India","India","IND","India","  Unknown","","","","","9991001"
"8657770","VAIDYANATH","In Service/Commission","20111116","2011",1690,1054,"Indian Register of Shipping 2011-11","India","General Cargo Ship",536,454,728,618,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","NT-855-M","4","Oil",0,"United Shippers Ltd","India","India","United Shippers Ltd","India","India","United Shippers Ltd","India","India","United Shippers Ltd","5099005","India","India","India","IND","United Shippers Ltd","5099005","India","India","IND","India","United Shippers Ltd","India","IND","India","India","5099005"
"8657861","SURYA 1","In Service/Commission","20110100","2011",2247,1330,"Indian Register of Shipping (Contemplated) 2012-10","India","General Cargo Ship",596,506,810,688,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","NTA-855-M","4","Oil",0,"SVS Group","India","India","SVS Marine Services Pvt Ltd","India","India","SVS Marine Services Pvt Ltd","India","India","SVS Marine Services Pvt Ltd","5497815","India","India","India","IND","SVS Marine Services Pvt Ltd","5497815","India","India","IND","India","Not Applicable","","","","","9984588"
"8657873","SURYA 2","In Service/Commission","20110214","2011",2277,1330,"Indian Register of Shipping (Contemplated) 2012-10","India","General Cargo Ship",596,506,810,688,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Cummins","NTA-855-M","4","Oil",0,"SVS Group","India","India","SVS Marine Services Pvt Ltd","India","India","SVS Marine Services Pvt Ltd","India","India","SVS Marine Services Pvt Ltd","5497815","India","India","India","IND","SVS Marine Services Pvt Ltd","5497815","India","India","IND","India","Not Applicable","","","","","9984588"
"8661616","ATALANTI","In Service/Commission","20080923","2008",5613,5871,"American Bureau of Shipping 2008-09","Cyprus","Cable Layer",0,0,0,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",0,,0,"Non-Propelled","","","",0,"S&O Ship Management Ltd","Greece","Greece","S&O Ship Management Ltd","Greece","Greece","Kreousa Shipping Co Ltd","Greece","Greece","S&O Ship Management Ltd","5584575","Greece","Greece","Cyprus","GRC","S&O Ship Management Ltd","5584575","Greece","Greece","GRC","Cyprus","S&O Ship Management Ltd","Greece","GRC","Greece","Cyprus","5584575"
"8661745","JIN ZHAO 11","In Service/Commission","20051206","2005",10200,6507,"","Sierra Leone","General Cargo Ship",3050,0,4147,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"MaK","9M25C","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","Zhoushan Jinyu Shpg Devt Co","China, People's Republic Of","China, People's Republic Of","Zhoushan Jinyu Shpg Devt Co","China, People's Republic Of","China, People's Republic Of","Zhoushan Jinyu Shpg Devt Co","4102241","China, People's Republic Of","China, People's Republic Of","China, People's Republic Of","CHR","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8661850","LONG GANG 7","In Service/Commission","20041230","2004",5300,2995,"Zianlian Chuen 2004-12","Sierra Leone","General Cargo Ship",2000,1700,2719,2311,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","G8300ZC","4","Oil",0,"China Govt","China, People's Republic Of","China, People's Republic Of","East Grand Shipping Co Ltd","","Hong Kong, China","Dalian Longgang Shipping Co","China, People's Republic Of","China, People's Republic Of","East Grand Shipping Co Ltd","5720074","","Hong Kong, China","Hong Kong, China","HKG","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8663511","AN SHENG JI 2","In Service/Commission","20050526","2005",7034,3298,"","Belize","General Cargo Ship",1765,1500,2400,2039,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Guangzhou","8320ZCD","4","Oil",0,"Quanzhou Ansheng Shpg Co Ltd","China, People's Republic Of","China, People's Republic Of","Sinounion Shipping Service Ltd","","Hong Kong, China","Quanzhou Ansheng Shpg Co Ltd","China, People's Republic Of","China, People's Republic Of","Sinounion Shipping Service Ltd","5609668","","Hong Kong, China","Hong Kong, China","HKG","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8663597","AN SHENG JI 6","In Service/Commission","20060816","2006",8894,4199,"China Classification Society 2006-08","Belize","General Cargo Ship",1765,1500,2400,2039,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Guangzhou","8320ZCD","4","Oil",0,"Quanzhou Ansheng Shpg Co Ltd","China, People's Republic Of","China, People's Republic Of","Sinounion Shipping Service Ltd","","Hong Kong, China","Quanzhou Ansheng Shpg Co Ltd","China, People's Republic Of","China, People's Republic Of","Sinounion Shipping Service Ltd","5609668","","Hong Kong, China","Hong Kong, China","HKG","Jieheng Shipping Co Ltd","5346444","China, People's Republic Of","China, People's Republic Of","CHR","Hong Kong, China","Jieheng Shipping Co Ltd","China, People's Republic Of","CHR","China, People's Republic Of","Hong Kong, China","5346444"
"8663781","STAR FORTUNE","In Service/Commission","20040909","2004",6467,2989,"Zianlian Chuen 2004-09","Honduras","General Cargo Ship",1471,0,2000,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","G8300ZC6B","4","Oil",0,"Sea Rhythm Enterprise Pte Ltd","Singapore","Singapore","Sea Rhythm Enterprise Pte Ltd","Singapore","Singapore","Star Fortune Enterprises Ltd","Singapore","Singapore","Sea Rhythm Enterprise Pte Ltd","1998214","Singapore","Singapore","Singapore","SNG","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8664864","HOANG CHIEN 16-ALCI","In Service/Commission","20081204","2008",3146,1599,"Vietnam Register 2008-12","Vietnam","General Cargo Ship",720,0,979,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"S.K.L.","8NVD48A-2U","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Hoang Chien Trading Service","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Hoang Chien Trading Service","4199262","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8664931","ORTENSIA II","In Service/Commission","20020101","2002",500,334,"","Italy","Grab Dredger",574,0,780,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",2,,2,"Iveco Aifo","","","Oil",0,"SOMIT Srl","Italy","Italy","SOMIT Srl","Italy","Italy","SOMIT Srl","Italy","Italy","SOMIT Srl","1533472","Italy","Italy","Italy","ITL","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8665040","TUAN HUNG 16","In Service/Commission","20080104","2008",3066,1599,"Vietnam Register 2008-01","Vietnam","General Cargo Ship",736,0,1001,0,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"S.K.L.","8NVD48A-1U","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Tuan Hung Transport","Vietnam","Vietnam","Tuan Hung Transport","Vietnam","Vietnam","Tuan Hung Transport","5227520","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8665052","TRUNG THANH 18-ALCI","In Service/Commission","20070814","2007",3145,1598,"Vietnam Register 2007-08","Vietnam","General Cargo Ship",970,824,1319,1120,.00,.00,.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"S.K.L.","8NVD48A-2U","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Trung Thanh Shipping Service","","Vietnam","Agriculture Leasing Co I","Vietnam","Vietnam","Trung Thanh Shipping Service","4199421","","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
"8665519","CONG THANH 126","In Service/Commission","20071108","2007",3118,1598,"Vietnam Register 2007-11","Vietnam","General Cargo Ship",1100,935,1496,1271,.00,.00,44.00,"YY","Yes, But Type Not Known",.00,"NN","Not Applicable",1,,1,"Chinese Std. Type","8300ZLC","4","Oil",0,"Vietnam Govt","Vietnam","Vietnam","Cong Thanh Commercial Service","Vietnam","Vietnam","Cong Thanh Commercial Service","Vietnam","Vietnam","Cong Thanh Commercial Service","5229248","Vietnam","Vietnam","Vietnam","VNM","  Unknown","9991001","","","","","  Unknown","","","","","9991001"
